Reference,Manufacturer Part number,Qty,Original,Description,Purchase Link,Value,Datasheet,Manufacturer,Footprint,Digi-Key Part No.,LCSC Part Number
"C101,C104,C105,C107,C218",CL21B104KACNNNC,5,N,CAP CER 0.1UF 25V X7R 0805,https://www.digikey.com/short/q2f22qnq,100nF,~,Samsung Electro-Mechanics,Capacitor_SMD:C_0805_2012Metric,1276-1099-1-ND,C29926
"C102,C103,C106,C108,C112,C204,C217,C301",08051C474K4Z2A,8,N,CAP CER 0.47UF 100V X7R 0805,https://www.digikey.com/products/en?keywords=478-9924-1-ND,470nF,,AVX Corporation,Capacitor_SMD:C_0805_2012Metric,478-9924-1-ND,C342818
"C109,C201,C203,C205,C206,C207,C208,C210,C216,C299",C2012X5R1V106K125AC,10,N,CAP CER 10UF 35V X5R 0805,https://www.digikey.com/short/p8qdn4mp,10uF,,TDK Corporation,Capacitor_SMD:C_0805_2012Metric,445-14418-1-ND,C3843628
C110,CL32A226MAJNNNE,1,N,CAP CER 22UF 25V X5R 1210,https://www.digikey.com/products/en?keywords=1276-3373-1-ND,22uF,,Samsung Electro-Mechanics,Capacitor_SMD:C_1210_3225Metric,1276-3373-1-ND,C337455
"C111,C215",T495X476K020ATE150,2,N,CAP TANT 47UF 10% 20V 2917,https://www.digikey.com/products/en?keywords=399-3904-1-ND,47uF low ESR,,KEMET,SignalSlinger_Footprints:C_2917,399-3904-1-ND,C122333
"C202,C209",C0805C103J5GEC7800,2,N,CAP CER 0805 10NF 50V C0G 5%,https://www.digikey.com/short/qd893213,10nF,,KEMET,Capacitor_SMD:C_0805_2012Metric,399-C0805C103J5GEC7800CT-ND,C3887673
"C302,C305",GRM2195C2A112JA01D,2,N,"1100 pF Â±5% 100V Ceramic Capacitor C0G, NP0 0805 (2012 Metric)",https://www.digikey.com/en/products/detail/murata-electronics/grm2195c2a112ja01d/8323858,1100pF,,Murata Electronics,Capacitor_SMD:C_0805_2012Metric,GRM2195C2A112JA01D-ND,
C303,GCM2165C2A182GA16D,1,N,Multilayer Ceramic Capacitors MLCC - SMD/SMT 1800 pF 100 VDC 2% 0805 C0G (NP0) AEC-Q200,https://www.digikey.com/en/products/detail/murata-electronics/gcm2165c2a182ga16d/17848659,1800pF,,Murata Electronics,Capacitor_SMD:C_0805_2012Metric,,
C304,08051A910FAT2A,1,N,Multilayer Ceramic Capacitors MLCC - SMD/SMT 100V 91pF C0G 0805 1%,https://www.digikey.com/en/products/detail/kyocera-avx/08051a910fat2a/1601269,91pF,,KYOCERA AVX,Capacitor_SMD:C_0805_2012Metric,,
"D101,D102",1N4148WT-7,2,N,DIODE GEN PURP 80V 125MA SOD523,https://www.digikey.com/en/products/detail/diodes-incorporated/1N4148WT-7/583731,1N914WT,,Diodes Incorporated,Diode_SMD:D_SOD-523,1N4148WTDICT-ND,C83482
D103,LTST-C170KRKT,1,N,LED RED CLEAR SMD,https://www.digikey.com/en/products/detail/liteon/LTST-C170KRKT/386779,Red LED,~,Lite-On Inc.,LED_SMD:LED_0805_2012Metric,160-1415-1-ND,C94868
D104,LTST-C170KGKT,1,N,LED GREEN CLEAR SMD,https://www.digikey.com/en/products/detail/liteon/LTST-C170KGKT/386777,Green LED,~,Lite-On Inc.,LED_SMD:LED_0805_2012Metric,160-1414-1-ND,C98221
"D105,D106,D108,D109,D110,D111,D112",CG0603MLC-05LE,7,N,VARISTOR 0603,https://www.digikey.com/products/en?keywords=CG0603MLC-05LECT-ND,ESD9B5.0ST5G_1,,Bourns Inc.,Diode_SMD:D_0603_1608Metric,CG0603MLC-05LECT-ND,C316054
"D107,D115,D203,D204,D206,D207","CRS09(TE85L,Q,M)",6,N,DIODE SCHOTTKY 30V 1.5A SOD-123FL,https://www.digikey.com/en/products/detail/toshiba-semiconductor-and-storage/crs09-te85l-q-m/871565,Schottky Diode,,Toshiba Semiconductor and Storage,SignalSlinger_Footprints:D_SOD-123FL,CRS09QCT-ND,
D201,"BAT54C,215",1,N,DIODE ARRAY SCHOTTKY 30V SOT23,https://www.digikey.com/en/products/detail/nexperia-usa-inc/BAT54C-215/763216,BAT54C,,Nexperia USA Inc.,Package_TO_SOT_SMD:SC-59,1727-2902-1-ND,C37704
D202,S3AB-13-F,1,N,DIODE GEN PURP 50V 3A SMB,https://www.digikey.com/en/products/detail/diodes-incorporated/S3AB-13-F/814419,B330A Schottky Diode,,Diodes Incorporated,Diode_SMD:D_SMA,S3AB-FDICT-ND,
"D208,D209",HS1AFL,2,N,DIODE GEN PURP 50V 1A SOD123F,https://www.digikey.com/en/products/detail/taiwan-semiconductor-corporation/HS1AFL/9602851?s=N4IgTCBcDaIBIGUCMBBAYgGQMIBUC0AcgCIgC6AvkA,1N4001,,Taiwan Semiconductor Corporation,Diode_SMD:D_SOD-123F,HS1AFLCT-ND,
F201,0ZCG0260BF2B,1,N,PTC RESET FUSE 16V 2.6A 1812,https://www.digikey.com/en/products/detail/bel-fuse-inc/0ZCG0260BF2B/4156115,2.6A,~,Bel Fuse Inc.,Fuse:Fuse_1812_4532Metric,0ZCG0260BF2B,
J201,PJ-036AH-SMT-TR,1,N,CONN PWR JACK 2X5.5MM SOLDER,https://www.digikey.com/en/products/detail/cui-devices/PJ-036AH-SMT-TR/1530971,Barrel_Jack_Switch,~,CUI Devices,Connector_BarrelJack:BarrelJack_CUI_PJ-036AH-SMT_Horizontal,CP-036AHPJCT-ND,
L201,WPN4020H2R2MT,1,N,FIXED IND 2.2UH 4.3A 48MOHM SMD,https://www.digikey.com/en/products/detail/shenzhen-sunlord-electronics-co-ltd/WPN4020H2R2MT/14119999?s=N4IgTCBcDaIOoAUByAWADGNAJMAlMAsgCogC6AvkA,2.2uH,,"Shenzhen Sunlord Electronics Co., Ltd.",SignalSlinger_Footprints:WPN4020H2R2MT,3442-WPN4020H2R2MTCT-ND,
P101,95278-101A06LF,1,N,CONN HEADER SMD 6POS 2.54MM,https://www.digikey.com/products/en?keywords=609-3487-1-ND,ISP/PDI,,Amphenol ICC (FCI),Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical_SMD,609-3487-1-ND,C178294
Q101,NTS4173PT1G,1,N,MOSFET P-CH 30V 1.2A SC70-3,https://www.digikey.com/short/j97zqh7v,NTS4173PT1G,,ONSEMI,Package_TO_SOT_SMD:SOT-323_SC-70,NTS4173PT1GOSCT-ND,
Q102,BSS138W-7-F,1,N,MOSFET N-CH 50V 200MA SOT323,https://www.digikey.com/short/m8f8nn79,BSS138W-7-F,,Diodes Incorporated,Package_TO_SOT_SMD:SOT-323_SC-70,BSS138W-FDICT-ND,C24553
R101,RC0805FR-07105KL,1,N,RES 105K OHM 1% 1/8W 0805,https://www.digikey.com/en/products/detail/yageo/RC0805FR-07105KL/727548,105k,,YAGEO,Resistor_SMD:R_0805_2012Metric,311-105KCRCT-ND,C273877
"R102,R110,R204",RC0805FR-07162KL,3,N,RES 162K OHM 1% 1/8W 0805,https://www.digikey.com/en/products/detail/yageo/RC0805FR-07162KL/727630,162k,,YAGEO,Resistor_SMD:R_0805_2012Metric,311-162KCRCT-ND,C273888
"R103,R205",RC0805FR-0712K4L,2,N,RES 12.4K OHM 1% 1/8W 0805,https://www.digikey.com/en/products/detail/yageo/RC0805FR-0712K4L/727572,12.4k,,YAGEO,Resistor_SMD:R_0805_2012Metric,311-12.4KCRCT-ND,C137595
R104,RMCF0805FT1K00,1,N,RES 1K OHM 1% 1/8W 0805,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT1K00/1760090,1k,,Stackpole Electronics Inc,Resistor_SMD:R_0805_2012Metric,RMCF0805FT1K00CT-ND,C17513
R105,RC0805FR-10220RL,1,N,RES 220 OHM 1% 1/8W 0805,https://www.digikey.com/en/products/detail/yageo/rc0805fr-10220rl/14008375,220,,Yageo,Resistor_SMD:R_0805_2012Metric,13-RC0805FR-10220RLCT-ND,
R106,RC0805FR-0747KL,1,N,RES 47K OHM 1% 1/8W 0805,https://www.digikey.com/en/products/detail/yageo/RC0805FR-0747KL/727973,47k,,YAGEO,Resistor_SMD:R_0805_2012Metric,311-47.0KCRCT-ND,C126351
"R107,R108",RNCP0805FTD10K0,2,N,RES 10K OHM 1% 1/4W 0805,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNCP0805FTD10K0/2240262,10k,,Stackpole Electronics Inc,Resistor_SMD:R_0805_2012Metric,RNCP0805FTD10K0CT-ND,C2441435
U101,AVR128DA28T-E/SO,1,Y,IC MCU 8BIT 128KB FLASH 28SOIC,https://www.digikey.com/short/781hqp8f,AVR128DA28,http://ww1.microchip.com/downloads/en/DeviceDoc/doc7707.pdf,Microchip Technology,SignalSlinger_Footprints:SOIC-28W_7.5x17.9mm_P1.27mm,150-AVR128DA28T-E/SOCT-ND,C1870730
U102,SI5351A-B-GT,1,Y,IC CLK GENERATOR 200MHZ 10MSOP,https://www.digikey.com/products/en?keywords=336-2399-5-ND,SI5351,http://www.silabs.com/Support%20Documents/TechnicalDocs/Si5351-B.pdf,Silicon Labs,Package_SO:MSOP-10_3x3mm_P0.5mm,336-2399-5-ND,C529366
"U103,U204,U206",TPS22810DBVT,3,N,Power Switch/Driver 1:1 N-Channel 2A SOT-23-6,https://www.digikey.com/products/en?keywords=296-45304-1-ND,TPS22810DBVT,http://www.ti.com/lit/ds/symlink/tps22810.pdf,Texas Instruments,Package_TO_SOT_SMD:SOT-23-6,296-45304-1-ND,C2680364
U104,LM5134BMFX/NOPB,1,N,IC GATE DRVR LOW-SIDE SOT23-6,https://www.digikey.com/products/en?keywords=296-40244-1-ND,LM5134,,Texas Instruments,SignalSlinger_Footprints:SOT-23-6-LM5134,296-40244-1-ND,C2677086
"U201,U202",LP2985A-33DBVR,2,N,IC REG LINEAR 3.3V 150MA SOT23-5,https://www.digikey.com/short/vr2m3rjp,LP2985-3.3,,Texas Instruments,Package_TO_SOT_SMD:SOT-23-5,296-18479-1-ND,C89826
U205,UA78M05IDCYR,1,N,IC REG LINEAR 5V 500MA SOT223-4,https://www.digikey.com/en/products/detail/texas-instruments/UA78M05IDCYR/706596,uA7805,http://www.ti.com/lit/ds/symlink/ua78.pdf,Texas Instruments,SignalSlinger_Footprints:SOT-223-4,296-17616-1-ND,
X101,ECS-327TXO-30-TR,1,N,OSC TCXO 32.768KHZ 3.0V SMD,https://www.digikey.com/en/products/detail/ecs-inc/ecs-327txo-30-tr/12349414,ECS-327TXO-30-TR,,ECS Inc.,SignalSlinger_Footprints:Oscillator_SMD_ECS_327TXO,50-ECS-327TXO-30-CT-ND,
X102,TXETCLSANF-25.000000,1,Y,XTAL OSC TCXO 25.0000MHZ SNWV,https://www.digikey.com/products/en?keywords=1664-1273-1-ND,25 MHz,,Taitien,SignalSlinger_Footprints:Crystal_SMD_TXETCLSANF-4Pin,1664-1273-1-ND,